name,owner,full_name,stars,created_at,updated_at,language,pull_requests,merged_prs,releases,issues,closed_issues,age_days,days_since_update,closed_issues_ratio
sample-microservice-1,user-1,user-1/sample-microservice-1,614,2024-09-17 18:34:14.901459,2025-03-27 18:34:14.901459,Ruby,106,88,38,444,423,329,138,0.9527027027027027
sample-microservice-2,user-2,user-2/sample-microservice-2,1346,2025-06-13 18:34:14.901459,2025-07-19 18:34:14.901459,C#,246,49,5,98,53,60,24,0.5408163265306123
sample-microservice-3,user-3,user-3/sample-microservice-3,8121,2020-12-19 18:34:14.901459,2024-03-14 18:34:14.901459,Ruby,236,8,9,114,106,1697,516,0.9298245614035088
sample-microservice-4,user-4,user-4/sample-microservice-4,1981,2024-09-17 18:34:14.901459,2024-10-19 18:34:14.901459,C++,39,39,25,136,95,329,297,0.6985294117647058
sample-microservice-5,user-5,user-5/sample-microservice-5,6799,2021-05-26 18:34:14.901459,2025-06-07 18:34:14.901459,Go,282,82,26,141,18,1539,66,0.1276595744680851
sample-microservice-6,user-6,user-6/sample-microservice-6,63,2021-04-11 18:34:14.901459,2024-08-17 18:34:14.901459,Rust,92,31,17,383,317,1584,360,0.8276762402088773
sample-microservice-7,user-7,user-7/sample-microservice-7,6863,2024-10-26 18:34:14.901459,2025-04-21 18:34:14.901459,Go,267,132,1,321,7,290,113,0.021806853582554516
sample-microservice-8,user-8,user-8/sample-microservice-8,7056,2022-12-19 18:34:14.901459,2025-06-07 18:34:14.901459,Python,223,214,4,42,34,967,66,0.8095238095238095
sample-microservice-9,user-9,user-9/sample-microservice-9,9385,2025-06-30 18:34:14.901459,2025-07-21 18:34:14.901459,TypeScript,214,9,20,437,200,43,22,0.4576659038901602
sample-microservice-10,user-10,user-10/sample-microservice-10,1723,2021-02-25 18:34:14.901459,2021-12-23 18:34:14.901459,Ruby,217,174,0,446,96,1629,1328,0.21524663677130046
sample-microservice-11,user-11,user-11/sample-microservice-11,4320,2023-12-08 18:34:14.901459,2025-06-15 18:34:14.901459,Ruby,48,20,41,404,12,613,58,0.0297029702970297
sample-microservice-12,user-12,user-12/sample-microservice-12,8864,2020-11-19 18:34:14.901459,2025-02-05 18:34:14.901459,Rust,93,17,3,15,15,1727,188,1.0
sample-microservice-13,user-13,user-13/sample-microservice-13,457,2020-12-08 18:34:14.901459,2022-12-25 18:34:14.901459,TypeScript,278,232,19,333,294,1708,961,0.8828828828828829
sample-microservice-14,user-14,user-14/sample-microservice-14,3161,2024-01-31 18:34:14.901459,2024-12-05 18:34:14.901459,C#,295,227,49,53,30,559,250,0.5660377358490566
sample-microservice-15,user-15,user-15/sample-microservice-15,1901,2021-07-05 18:34:14.901459,2021-10-20 18:34:14.901459,Java,12,7,20,253,152,1499,1392,0.6007905138339921
sample-microservice-16,user-16,user-16/sample-microservice-16,4337,2024-05-13 18:34:14.901459,2024-06-27 18:34:14.901459,Go,241,176,45,311,175,456,411,0.5627009646302251
sample-microservice-17,user-17,user-17/sample-microservice-17,5729,2023-09-11 18:34:14.901459,2024-11-04 18:34:14.901459,C#,90,70,24,117,105,701,281,0.8974358974358975
sample-microservice-18,user-18,user-18/sample-microservice-18,6662,2021-01-30 18:34:14.901459,2023-01-31 18:34:14.901459,TypeScript,173,49,37,229,173,1655,924,0.7554585152838428
sample-microservice-19,user-19,user-19/sample-microservice-19,6254,2021-05-05 18:34:14.901459,2022-10-09 18:34:14.901459,JavaScript,102,82,20,427,362,1560,1038,0.8477751756440282
sample-microservice-20,user-20,user-20/sample-microservice-20,5075,2024-05-06 18:34:14.901459,2025-07-23 18:34:14.901459,C#,191,64,0,31,22,463,20,0.7096774193548387
sample-microservice-21,user-21,user-21/sample-microservice-21,4755,2025-01-13 18:34:14.901459,2025-05-23 18:34:14.901459,C++,95,81,42,16,0,211,81,0.0
sample-microservice-22,user-22,user-22/sample-microservice-22,836,2022-06-24 18:34:14.901459,2023-10-29 18:34:14.901459,C++,200,94,32,182,143,1145,653,0.7857142857142857
sample-microservice-23,user-23,user-23/sample-microservice-23,3029,2025-03-11 18:34:14.901459,2025-05-07 18:34:14.901459,TypeScript,160,27,30,122,95,154,97,0.7786885245901639
sample-microservice-24,user-24,user-24/sample-microservice-24,6680,2025-04-20 18:34:14.901459,2025-05-06 18:34:14.901459,TypeScript,274,33,31,41,28,114,98,0.6829268292682927
sample-microservice-25,user-25,user-25/sample-microservice-25,4932,2023-02-21 18:34:14.901459,2024-01-15 18:34:14.901459,C++,17,17,41,231,39,903,575,0.16883116883116883
sample-microservice-26,user-26,user-26/sample-microservice-26,2405,2021-10-06 18:34:14.901459,2022-02-04 18:34:14.901459,Go,276,51,49,402,25,1406,1285,0.06218905472636816
sample-microservice-27,user-27,user-27/sample-microservice-27,3245,2024-10-17 18:34:14.901459,2025-02-23 18:34:14.901459,Go,247,165,19,341,33,299,170,0.0967741935483871
sample-microservice-28,user-28,user-28/sample-microservice-28,7280,2022-03-09 18:34:14.901459,2023-07-29 18:34:14.901459,Rust,29,16,26,315,125,1252,745,0.3968253968253968
sample-microservice-29,user-29,user-29/sample-microservice-29,7905,2020-12-08 18:34:14.901459,2021-01-10 18:34:14.901459,Go,86,48,0,337,219,1708,1675,0.6498516320474778
sample-microservice-30,user-30,user-30/sample-microservice-30,900,2024-03-11 18:34:14.901459,2024-03-13 18:34:14.901459,C#,142,98,20,344,218,519,517,0.6337209302325582
sample-microservice-31,user-31,user-31/sample-microservice-31,1097,2022-05-02 18:34:14.901459,2024-12-03 18:34:14.901459,C#,209,23,19,146,72,1198,252,0.4931506849315068
sample-microservice-32,user-32,user-32/sample-microservice-32,8922,2022-07-07 18:34:14.901459,2022-10-10 18:34:14.901459,Python,267,123,31,58,39,1132,1037,0.6724137931034483
sample-microservice-33,user-33,user-33/sample-microservice-33,5663,2021-01-24 18:34:14.901459,2022-08-23 18:34:14.901459,JavaScript,97,41,20,341,36,1661,1085,0.10557184750733138
sample-microservice-34,user-34,user-34/sample-microservice-34,1717,2023-09-17 18:34:14.901459,2025-05-06 18:34:14.901459,JavaScript,240,156,45,198,176,695,98,0.8888888888888888
sample-microservice-35,user-35,user-35/sample-microservice-35,9119,2020-09-21 18:34:14.901459,2024-08-04 18:34:14.901459,JavaScript,276,197,2,364,155,1786,373,0.4258241758241758
sample-microservice-36,user-36,user-36/sample-microservice-36,5607,2025-05-10 18:34:14.901459,2025-05-21 18:34:14.901459,Ruby,242,213,30,454,399,94,83,0.8788546255506607
sample-microservice-37,user-37,user-37/sample-microservice-37,2684,2021-05-31 18:34:14.901459,2023-09-09 18:34:14.901459,Ruby,300,105,6,484,90,1534,703,0.1859504132231405
sample-microservice-38,user-38,user-38/sample-microservice-38,6861,2023-06-23 18:34:14.901459,2025-05-17 18:34:14.901459,PHP,18,0,43,145,58,781,87,0.4
sample-microservice-39,user-39,user-39/sample-microservice-39,9861,2021-02-15 18:34:14.901459,2021-05-08 18:34:14.901459,Rust,239,144,37,259,208,1639,1557,0.803088803088803
sample-microservice-40,user-40,user-40/sample-microservice-40,7777,2020-08-26 18:34:14.901459,2022-02-19 18:34:14.901459,Java,238,171,22,84,61,1812,1270,0.7261904761904762
sample-microservice-41,user-41,user-41/sample-microservice-41,3432,2024-01-29 18:34:14.901459,2024-12-03 18:34:14.901459,C#,273,50,34,258,107,561,252,0.41472868217054265
sample-microservice-42,user-42,user-42/sample-microservice-42,8629,2021-06-15 18:34:14.901459,2024-07-22 18:34:14.901459,Go,128,96,4,410,182,1519,386,0.44390243902439025
sample-microservice-43,user-43,user-43/sample-microservice-43,494,2025-02-08 18:34:14.901459,2025-06-16 18:34:14.901459,JavaScript,127,19,37,331,242,185,57,0.7311178247734139
sample-microservice-44,user-44,user-44/sample-microservice-44,5129,2021-04-08 18:34:14.901459,2025-05-13 18:34:14.901459,Go,215,138,16,454,274,1587,91,0.6035242290748899
sample-microservice-45,user-45,user-45/sample-microservice-45,3591,2023-01-17 18:34:14.901459,2024-05-11 18:34:14.901459,PHP,269,246,41,313,34,938,458,0.10862619808306709
sample-microservice-46,user-46,user-46/sample-microservice-46,3174,2021-10-10 18:34:14.901459,2023-03-03 18:34:14.901459,Go,230,47,29,321,318,1402,893,0.9906542056074766
sample-microservice-47,user-47,user-47/sample-microservice-47,9865,2024-01-12 18:34:14.902511,2025-03-09 18:34:14.902511,Java,163,38,5,348,288,578,156,0.8275862068965517
sample-microservice-48,user-48,user-48/sample-microservice-48,6149,2021-02-17 18:34:14.902511,2021-03-09 18:34:14.902511,C#,200,150,46,96,88,1637,1617,0.9166666666666666
sample-microservice-49,user-49,user-49/sample-microservice-49,3089,2024-11-07 18:34:14.902511,2025-03-01 18:34:14.902511,C#,261,132,9,80,61,278,164,0.7625
sample-microservice-50,user-50,user-50/sample-microservice-50,7068,2022-03-18 18:34:14.902511,2025-05-14 18:34:14.902511,Rust,83,53,7,230,146,1243,90,0.6347826086956522
sample-microservice-51,user-51,user-51/sample-microservice-51,9298,2020-09-19 18:34:14.902511,2024-12-15 18:34:14.902511,Rust,88,17,20,314,287,1788,240,0.9140127388535032
sample-microservice-52,user-52,user-52/sample-microservice-52,7687,2023-05-13 18:34:14.902511,2023-12-04 18:34:14.902511,Python,220,146,0,489,391,822,617,0.7995910020449898
sample-microservice-53,user-53,user-53/sample-microservice-53,5237,2021-03-05 18:34:14.902511,2021-04-14 18:34:14.902511,C#,161,55,2,341,117,1621,1581,0.34310850439882695
sample-microservice-54,user-54,user-54/sample-microservice-54,9840,2024-12-23 18:34:14.902511,2025-03-23 18:34:14.902511,PHP,191,70,7,165,1,232,142,0.006060606060606061
sample-microservice-55,user-55,user-55/sample-microservice-55,789,2025-04-03 18:34:14.902511,2025-05-25 18:34:14.902511,Python,32,17,1,361,38,131,79,0.10526315789473684
sample-microservice-56,user-56,user-56/sample-microservice-56,8557,2023-07-20 18:34:14.902511,2024-01-06 18:34:14.902511,C++,9,3,10,289,15,754,584,0.05190311418685121
sample-microservice-57,user-57,user-57/sample-microservice-57,4766,2022-03-22 18:34:14.902511,2025-05-16 18:34:14.902511,C#,291,10,38,45,15,1239,88,0.3333333333333333
sample-microservice-58,user-58,user-58/sample-microservice-58,2568,2021-03-05 18:34:14.902511,2025-04-05 18:34:14.902511,TypeScript,66,34,50,487,421,1621,129,0.864476386036961
sample-microservice-59,user-59,user-59/sample-microservice-59,8357,2024-09-23 18:34:14.902511,2025-05-06 18:34:14.902511,Java,274,226,29,132,3,323,98,0.022727272727272728
sample-microservice-60,user-60,user-60/sample-microservice-60,1304,2021-10-25 18:34:14.902511,2023-05-22 18:34:14.902511,PHP,174,173,17,401,237,1387,813,0.5910224438902744
sample-microservice-61,user-61,user-61/sample-microservice-61,732,2022-08-31 18:34:14.902511,2023-06-09 18:34:14.902511,TypeScript,282,246,31,161,21,1077,795,0.13043478260869565
sample-microservice-62,user-62,user-62/sample-microservice-62,3394,2021-02-10 18:34:14.902511,2022-02-11 18:34:14.902511,Rust,267,63,16,257,58,1644,1278,0.22568093385214008
sample-microservice-63,user-63,user-63/sample-microservice-63,7082,2020-08-13 18:34:14.902511,2024-10-26 18:34:14.902511,TypeScript,191,188,3,294,184,1825,290,0.6258503401360545
sample-microservice-64,user-64,user-64/sample-microservice-64,1321,2023-08-04 18:34:14.902511,2024-11-30 18:34:14.902511,Rust,165,1,34,209,69,739,255,0.33014354066985646
sample-microservice-65,user-65,user-65/sample-microservice-65,8762,2025-06-01 18:34:14.902511,2025-07-10 18:34:14.902511,PHP,38,0,25,185,174,72,33,0.9405405405405406
sample-microservice-66,user-66,user-66/sample-microservice-66,4319,2020-09-08 18:34:14.902511,2024-11-07 18:34:14.902511,Go,215,182,28,115,27,1799,278,0.23478260869565218
sample-microservice-67,user-67,user-67/sample-microservice-67,6934,2025-05-11 18:34:14.902511,2025-05-22 18:34:14.902511,JavaScript,241,78,12,186,59,93,82,0.3172043010752688
sample-microservice-68,user-68,user-68/sample-microservice-68,198,2021-12-18 18:34:14.902511,2024-01-17 18:34:14.902511,JavaScript,205,189,8,342,42,1333,573,0.12280701754385964
sample-microservice-69,user-69,user-69/sample-microservice-69,2423,2021-01-23 18:34:14.902511,2024-08-13 18:34:14.902511,PHP,249,177,0,345,340,1662,364,0.9855072463768116
sample-microservice-70,user-70,user-70/sample-microservice-70,7721,2023-08-26 18:34:14.902511,2025-01-20 18:34:14.902511,C#,197,25,47,281,42,717,204,0.1494661921708185
sample-microservice-71,user-71,user-71/sample-microservice-71,7629,2024-08-31 18:34:14.902511,2024-12-15 18:34:14.902511,Java,103,49,34,314,8,346,240,0.025477707006369428
sample-microservice-72,user-72,user-72/sample-microservice-72,160,2024-06-07 18:34:14.902511,2024-10-12 18:34:14.902511,TypeScript,74,8,6,431,241,431,304,0.5591647331786543
sample-microservice-73,user-73,user-73/sample-microservice-73,9775,2021-09-19 18:34:14.902511,2025-08-03 18:34:14.902511,Python,80,77,22,264,30,1423,9,0.11363636363636363
sample-microservice-74,user-74,user-74/sample-microservice-74,635,2024-02-13 18:34:14.902511,2024-12-24 18:34:14.902511,C#,174,37,9,50,31,546,231,0.62
sample-microservice-75,user-75,user-75/sample-microservice-75,9436,2023-10-21 18:34:14.902511,2025-08-09 18:34:14.902511,TypeScript,68,49,48,180,86,661,3,0.4777777777777778
sample-microservice-76,user-76,user-76/sample-microservice-76,1160,2023-06-11 18:34:14.902511,2024-06-23 18:34:14.902511,PHP,81,78,15,364,347,793,415,0.9532967032967034
sample-microservice-77,user-77,user-77/sample-microservice-77,2277,2022-04-26 18:34:14.902511,2023-11-14 18:34:14.902511,Rust,26,14,7,281,278,1204,637,0.9893238434163701
sample-microservice-78,user-78,user-78/sample-microservice-78,9266,2024-10-02 18:34:14.902511,2025-06-28 18:34:14.902511,Python,162,104,34,397,99,314,45,0.24937027707808565
