# Exemplo de saída do script de coleta de dados do GitHub
# Este arquivo demonstra a estrutura e tipos de dados coletados dos repositórios

# COLUNAS E SEUS SIGNIFICADOS:
# nome: Nome do repositório no GitHub
# proprietario: Nome do usuário ou organização que possui o repositório
# tipo_proprietario: Tipo do proprietário (User = usuário individual, Organization = organização/empresa)
# url: Link direto para o repositório no GitHub
# homepage: URL da página oficial do projeto (se configurada)
# estrelas: Número de estrelas (likes) que o repositório recebeu - indica popularidade
# descricao: Descrição do projeto fornecida pelos mantenedores
# forks: Número de cópias do repositório criadas por outros usuários
# watchers: Número de pessoas que estão "observando" o repositório (recebem notificações)
# commits: Número total de commits na branch principal - indica atividade de desenvolvimento
# issues_abertas: Issues (problemas/sugestões) que ainda estão abertas
# issues_fechadas: Issues que foram resolvidas ou fechadas
# prs_abertos: Pull Requests abertos (contribuições pendentes)
# prs_fechados: Pull Requests que foram fechados sem serem mesclados
# prs_mesclados: Pull Requests que foram aceitos e mesclados ao código
# releases: Número de versões oficiais lançadas do projeto
# data_criacao: Data e hora quando o repositório foi criado (formato ISO 8601)
# ultima_atualizacao: Data da última modificação em qualquer arquivo
# ultimo_push: Data do último commit enviado para o repositório
# linguagem_principal: Linguagem de programação predominante no projeto
# todas_linguagens: Lista de todas as linguagens usadas (separadas por ponto e vírgula)
# licenca: Tipo de licença do projeto (ex: MIT, Apache, GPL)
# tamanho_kb: Tamanho total do repositório em kilobytes
# branch_principal: Nome da branch principal (geralmente 'main' ou 'master')
# arquivado: Se o repositório está arquivado (não recebe mais atualizações)
# eh_fork: Se este repositório é uma cópia de outro repositório
# eh_template: Se este repositório serve como template para criar outros
# topicos: Tags/tópicos associados ao projeto (separados por ponto e vírgula)

nome,proprietario,tipo_proprietario,url,homepage,estrelas,descricao,forks,watchers,commits,issues_abertas,issues_fechadas,prs_abertos,prs_fechados,prs_mesclados,releases,data_criacao,ultima_atualizacao,ultimo_push,linguagem_principal,todas_linguagens,licenca,tamanho_kb,branch_principal,arquivado,eh_fork,eh_template,topicos

# EXEMPLO 1: freeCodeCamp - Plataforma de aprendizado de programação
# Um dos repositórios mais populares do GitHub, com foco em educação
freeCodeCamp,freeCodeCamp,Organization,https://github.com/freeCodeCamp/freeCodeCamp,https://www.freecodecamp.org,380000,freeCodeCamp.org's open-source codebase and curriculum,32000,15000,45000,800,15000,200,5000,8000,150,2014-12-10T16:26:49Z,2024-01-15T20:30:00Z,2024-01-15T20:30:00Z,TypeScript,TypeScript; JavaScript; CSS; HTML,MIT License,51200,main,Não,Não,Não,freecodecamp; curriculum; javascript; react; nodejs

# EXEMPLO 2: Vue.js - Framework JavaScript popular
# Framework frontend com alta adoção na comunidade
vue,VueJS,Organization,https://github.com/vuejs/vue,https://vuejs.org,210000,Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web,34000,12000,28000,400,8000,150,3000,5000,100,2013-07-29T10:58:51Z,2024-01-15T18:45:00Z,2024-01-15T18:45:00Z,JavaScript,JavaScript; TypeScript; CSS,MIT License,25600,main,Não,Não,Não,vue; framework; javascript; progressive; reactive

# EXEMPLO 3: React - Biblioteca JavaScript do Facebook
# Uma das bibliotecas mais populares para desenvolvimento frontend
react,facebook,Organization,https://github.com/facebook/react,https://reactjs.org,210000,The library for web and native user interfaces,45000,18000,35000,600,12000,100,4000,6000,80,2013-05-24T16:15:54Z,2024-01-15T19:20:00Z,2024-01-15T19:20:00Z,JavaScript,JavaScript; TypeScript; CSS,MIT License,30720,main,Não,Não,Não,react; javascript; framework; ui; declarative; component-based

# EXEMPLO 4: TensorFlow - Biblioteca de machine learning do Google
# Framework popular para inteligência artificial e aprendizado de máquina
tensorflow,google,Organization,https://github.com/tensorflow/tensorflow,https://tensorflow.org,180000,An Open Source Machine Learning Framework for Everyone,85000,25000,40000,1200,20000,300,8000,12000,200,2015-11-07T01:19:20Z,2024-01-15T17:10:00Z,2024-01-15T17:10:00Z,Python,Python; C++; JavaScript; Shell,Apache License 2.0,40960,main,Não,Não,Não,tensorflow; machine-learning; deep-learning; neural-networks; ai; ml

# EXEMPLO 5: VS Code - Editor de código da Microsoft
# Editor de código mais popular entre desenvolvedores
vscode,microsoft,Organization,https://github.com/microsoft/vscode,https://code.visualstudio.com,150000,Visual Studio Code,25000,12000,30000,800,15000,150,3000,5000,120,2014-11-18T18:54:33Z,2024-01-15T16:45:00Z,2024-01-15T16:45:00Z,TypeScript,TypeScript; JavaScript; CSS; HTML,MIT License,61440,main,Não,Não,Não,vscode; editor; ide; typescript; electron; microsoft 
